Weather,Road_Type,Time_of_Day,Traffic_Density,Speed_Limit,Number_of_Vehicles,Driver_Alcohol,Accident_Severity,Road_Condition,Vehicle_Type,Driver_Age,Driver_Experience,Road_Light_Condition,Accident,lat,long,State
Foggy,Highway,Evening,1,44,9,0,Low,Dry,Truck,49,26,Daylight,0,17.86668732696854,79.76094392433815,Telangana
Clear,Highway,Morning,1,120,5,0,Low,Wet,Bus,23,4,Daylight,0,16.96237948011085,81.65759823104503,Telangana
Clear,City Road,Night,2,80,17,0,Low,Wet,Car,31,6,Daylight,0,15.805933769081996,77.67938589274164,Andhra Pradesh
Clear,Rural Road,Evening,1,111,4,1,High,Dry,Car,18,0,Daylight,1,16.23513307916698,79.51607232556529,Telangana
Rainy,City Road,Night,1,123,15,0,Moderate,Icy,Bike,58,33,Daylight,1,18.45653092705895,81.05482081909594,Andhra Pradesh
Foggy,Rural Road,Evening,1,115,16,0,Low,Dry,Truck,30,11,Daylight,0,17.22824211368301,82.73785247508934,Andhra Pradesh
Clear,City Road,Night,2,87,3,0,Moderate,Dry,Car,35,16,Artificial Light,1,17.36063285608478,81.461467614825,Andhra Pradesh
Foggy,Rural Road,Morning,3,56,8,0,Low,Dry,Car,27,9,Daylight,0,19.43978125115392,77.39075284703307,Telangana
Rainy,City Road,Night,1,99,10,1,High,Wet,Bus,28,3,Daylight,1,16.0824853463825,78.18441264781387,Andhra Pradesh
Clear,Rural Road,Morning,2,122,9,0,Low,Icy,Truck,35,15,Artificial Light,0,19.036091684176128,77.34670373359212,Telangana
Foggy,City Road,Morning,3,107,13,0,Low,Wet,Truck,50,30,Artificial Light,0,15.316487356474473,78.19754635995052,Andhra Pradesh
Clear,City Road,Afternoon,1,62,14,0,High,Wet,Bike,27,7,Daylight,0,16.632810706920996,83.96272329914714,Andhra Pradesh
Clear,Highway,Morning,3,106,10,0,Moderate,Icy,Car,18,0,Artificial Light,1,17.80981424629572,82.04957574697261,Andhra Pradesh
Rainy,City Road,Evening,1,32,1,0,Low,Dry,Bike,49,25,Artificial Light,0,14.614999350766988,78.72379969505742,Andhra Pradesh
Clear,Highway,Night,1,119,16,0,Moderate,Dry,Bike,55,34,Artificial Light,1,17.777660455189288,80.50347228703548,Telangana
Clear,Rural Road,Night,2,65,10,0,Low,Dry,Bus,44,19,Daylight,0,16.88757826004671,81.25097687032498,Andhra Pradesh
Rainy,City Road,Evening,3,92,15,1,High,Wet,Bike,31,10,Artificial Light,1,18.826418094850926,78.08895187273568,Telangana
Rainy,City Road,Night,1,89,10,0,Moderate,Dry,Bus,56,34,Artificial Light,1,18.151316231953004,78.21164595635449,Telangana
Clear,Highway,Evening,1,96,15,0,Low,Dry,Bus,25,2,Artificial Light,0,19.33266229534431,81.6282716361013,Telangana
Rainy,City Road,Afternoon,2,110,9,0,Low,Icy,Bike,45,27,Artificial Light,0,17.204617768418355,81.31920221256125,Andhra Pradesh
Rainy,City Road,Evening,3,82,17,0,Moderate,Icy,Bike,62,44,Daylight,1,17.03700015239499,82.78982522980861,Andhra Pradesh
Rainy,Rural Road,Night,2,33,7,0,Moderate,Icy,Car,38,16,Daylight,1,18.388082556561855,81.88697041872095,Andhra Pradesh
Clear,Rural Road,Night,3,35,3,0,Moderate,Dry,Car,49,29,Daylight,1,18.644839703546417,79.49981691313307,Telangana
Rainy,Rural Road,Evening,1,122,16,1,High,Icy,Bike,38,17,Artificial Light,1,17.90156248528927,78.45853927863935,Telangana
Clear,Highway,Evening,2,104,16,0,Low,Icy,Bike,19,0,Daylight,0,17.441569994025414,82.97324882612126,Andhra Pradesh
Rainy,City Road,Morning,1,91,12,1,High,Dry,Truck,31,9,Daylight,1,19.656623996663065,78.74781000416777,Telangana
Rainy,Highway,Afternoon,1,110,3,0,Low,Wet,Bus,52,34,Daylight,1,17.49259025100128,82.40561466252208,Andhra Pradesh
Foggy,Rural Road,Night,1,55,14,0,Low,Wet,Truck,39,21,Daylight,0,18.020929212552133,83.94725187954522,Andhra Pradesh
Rainy,City Road,Afternoon,2,32,8,0,Low,Dry,Truck,66,41,Artificial Light,0,14.49276509705913,79.51333545177175,Andhra Pradesh
Rainy,Highway,Night,2,107,14,0,Moderate,Wet,Truck,67,43,Daylight,1,18.688423909287906,79.33307884989249,Telangana
Foggy,Rural Road,Night,2,125,3,0,Moderate,Dry,Bus,58,39,Daylight,1,18.199200349964915,82.18047228873431,Andhra Pradesh
Rainy,City Road,Morning,1,49,5,0,Low,Wet,Truck,48,24,Daylight,0,17.33015021333102,79.51826321722214,Telangana
Foggy,City Road,Evening,2,38,15,0,Low,Dry,Bus,51,27,Artificial Light,0,18.1744321965437,78.08866497275824,Telangana
Foggy,City Road,Night,1,123,11,0,Moderate,Dry,Bus,30,7,Daylight,1,19.49372169409466,80.3686786594992,Telangana
Clear,City Road,Evening,1,81,6,0,Low,Dry,Bike,45,25,Artificial Light,0,14.248740565451595,78.88960005779695,Andhra Pradesh
Foggy,Highway,Morning,1,128,19,0,Low,Dry,Bus,67,43,Daylight,0,16.657395350390797,82.34558813474838,Andhra Pradesh
Rainy,Highway,Afternoon,2,48,14,0,Low,Dry,Truck,42,17,Daylight,0,17.677620540312446,80.81227758820033,Andhra Pradesh
Clear,Highway,Afternoon,1,40,6,0,Low,Icy,Bus,63,45,Daylight,0,16.849573430090317,83.9548503007344,Andhra Pradesh
Clear,Highway,Night,2,97,16,0,Low,Dry,Car,38,14,Artificial Light,0,17.874873721881734,81.63896398238913,Andhra Pradesh
Foggy,Highway,Morning,2,52,9,0,Low,Icy,Truck,38,19,Daylight,0,16.188429550595313,81.78659305508263,Telangana
Foggy,Highway,Night,3,38,1,0,Moderate,Wet,Truck,41,22,Artificial Light,1,17.347616370347147,82.77452372595901,Andhra Pradesh
Foggy,City Road,Morning,3,61,11,0,Low,Dry,Bus,60,36,Daylight,0,18.120518261034572,82.37802366510017,Andhra Pradesh
Clear,Rural Road,Evening,1,122,8,0,Low,Wet,Truck,41,16,Daylight,1,16.623215970584937,81.06874445416055,Andhra Pradesh
Rainy,Highway,Morning,2,70,10,0,Low,Wet,Bus,63,40,Daylight,0,15.715060559839728,78.07477395976484,Andhra Pradesh
Clear,City Road,Evening,1,113,11,0,Low,Icy,Truck,19,0,Daylight,0,17.881230624773274,82.50342704088717,Andhra Pradesh
Foggy,Highway,Afternoon,2,99,11,0,Low,Dry,Bike,60,39,Artificial Light,0,17.227222898380127,81.25884996575188,Andhra Pradesh
Clear,City Road,Afternoon,1,117,12,1,High,Dry,Bike,57,37,Artificial Light,1,18.54540615180382,81.76213973063119,Telangana
Foggy,Highway,Morning,2,59,16,0,Low,Icy,Truck,57,35,Artificial Light,0,17.694233240031007,81.98464769511092,Andhra Pradesh
Clear,Rural Road,Night,1,87,3,0,Moderate,Wet,Truck,29,7,Artificial Light,1,17.631423759153126,78.39449221660072,Telangana
Clear,Highway,Morning,2,44,3,1,Moderate,Icy,Truck,51,30,Daylight,1,19.183052990211817,79.48070133949204,Telangana
Clear,City Road,Morning,3,92,9,1,High,Icy,Bus,57,37,Daylight,1,17.10952182559465,81.13632962983432,Andhra Pradesh
Clear,Highway,Night,3,102,16,0,Moderate,Dry,Car,41,23,Daylight,1,16.152232591631563,80.55635996234712,Telangana
Foggy,Rural Road,Morning,2,49,5,0,Low,Dry,Bus,40,21,Daylight,0,17.880150708377595,81.86631756116434,Andhra Pradesh
Rainy,City Road,Afternoon,3,35,7,1,High,Wet,Bus,58,33,Artificial Light,1,17.50467668405757,79.40513423163603,Telangana
Foggy,City Road,Evening,1,36,18,0,Low,Dry,Bike,59,34,Daylight,0,16.70123995444518,81.58371133500997,Andhra Pradesh
Clear,Rural Road,Morning,2,59,6,0,Low,Wet,Truck,55,34,Daylight,0,18.521310878845146,80.3291866869037,Telangana
Rainy,City Road,Evening,2,45,13,1,High,Wet,Truck,55,31,Daylight,1,16.973519659683976,79.36248234482113,Telangana
Rainy,Highway,Night,2,51,13,0,Moderate,Dry,Bike,35,14,Daylight,1,16.593133634848943,78.18874878319023,Telangana
Foggy,Highway,Morning,3,65,6,0,Low,Wet,Truck,23,4,Artificial Light,0,15.894493062467092,81.4147087845664,Telangana
Clear,City Road,Night,2,120,15,0,Moderate,Icy,Bus,33,11,Daylight,1,16.955067753872928,81.47860501425797,Andhra Pradesh
Clear,Rural Road,Night,3,87,1,0,Moderate,Icy,Truck,28,5,Daylight,1,17.778525766362726,80.76300033612155,Andhra Pradesh
Foggy,City Road,Night,3,118,9,0,Moderate,Dry,Car,29,9,Artificial Light,1,17.789513453180184,81.68881217168504,Andhra Pradesh
Rainy,City Road,Afternoon,1,106,6,0,Moderate,Dry,Bike,60,42,Daylight,1,15.393561861675355,78.08884869804147,Andhra Pradesh
Foggy,Rural Road,Morning,2,58,7,0,Low,Dry,Car,65,42,Artificial Light,0,18.468394597006245,77.74648629737655,Telangana
Clear,Highway,Night,1,63,9,0,Low,Dry,Bike,19,1,Artificial Light,0,17.37429621009007,81.43755753986105,Andhra Pradesh
Foggy,Rural Road,Afternoon,3,38,4,0,Low,Icy,Bus,19,0,Daylight,0,18.27642049073195,81.29526788399933,Telangana
Clear,Rural Road,Morning,2,100,1,0,Low,Icy,Car,22,0,Daylight,0,15.519406921858561,78.4308235109571,Andhra Pradesh
Foggy,City Road,Night,2,50,15,0,Low,Dry,Bike,20,0,Daylight,0,16.723349110886428,78.40835162015703,Telangana
Rainy,City Road,Evening,2,103,1,0,Moderate,Wet,Bus,19,0,Daylight,0,17.23455540256142,83.6983508291873,Andhra Pradesh
Rainy,Highway,Morning,1,86,8,0,Moderate,Wet,Bike,24,6,Artificial Light,1,17.31001141738841,78.95518957838355,Telangana
Rainy,City Road,Night,3,120,6,0,High,Icy,Car,19,0,Artificial Light,1,17.372491500979304,81.13211498872799,Telangana
Foggy,City Road,Morning,3,82,18,0,Moderate,Dry,Truck,42,20,Artificial Light,1,15.535422125797233,78.26852895148288,Andhra Pradesh
Rainy,Highway,Morning,1,117,15,0,Moderate,Wet,Truck,37,19,Daylight,1,14.095909653389253,79.50283349637766,Andhra Pradesh
Clear,Rural Road,Morning,3,40,7,0,Low,Wet,Bike,46,24,Artificial Light,0,17.902274589155112,79.07177610385804,Telangana
Foggy,Highway,Morning,2,74,11,1,Moderate,Icy,Car,44,19,Artificial Light,1,17.83483106106766,80.54467899281263,Andhra Pradesh
Foggy,City Road,Night,3,42,13,0,Moderate,Dry,Car,57,35,Daylight,1,15.116848813278482,78.28882299531018,Andhra Pradesh
Clear,Highway,Afternoon,3,54,14,0,Moderate,Dry,Truck,59,40,Daylight,0,17.378930748716883,82.23712969949533,Andhra Pradesh
Rainy,Highway,Evening,3,36,12,0,Moderate,Wet,Bike,20,1,Artificial Light,1,17.857320187653794,81.9731378506573,Andhra Pradesh
Clear,Rural Road,Morning,3,88,18,1,High,Dry,Truck,65,40,Artificial Light,1,15.49819379455898,79.35719925199939,Andhra Pradesh
Rainy,City Road,Afternoon,2,121,3,0,Moderate,Dry,Truck,44,24,Artificial Light,1,17.29458258589181,81.67896695506504,Andhra Pradesh
Foggy,Rural Road,Night,2,97,4,0,Low,Dry,Car,50,27,Daylight,1,18.222227040122853,80.77418376216703,Andhra Pradesh
Rainy,Highway,Night,3,124,19,0,High,Wet,Truck,45,27,Daylight,1,18.200635416315198,81.24497530113425,Andhra Pradesh
Clear,Highway,Afternoon,3,109,1,0,Moderate,Icy,Truck,39,14,Daylight,1,18.541888343244235,79.75152722209579,Telangana
Foggy,Rural Road,Evening,3,82,13,0,Moderate,Dry,Bike,55,32,Artificial Light,1,14.312722274591009,77.79850082116201,Andhra Pradesh
Clear,Rural Road,Evening,3,104,18,0,Moderate,Dry,Truck,36,14,Artificial Light,1,18.08295527714106,81.64797967078435,Telangana
Clear,City Road,Morning,1,111,11,0,Low,Dry,Truck,21,2,Daylight,0,17.15388420050939,82.6234126311926,Andhra Pradesh
Rainy,Highway,Night,3,36,11,1,High,Wet,Car,45,25,Artificial Light,1,16.09231958211156,79.7896123046864,Andhra Pradesh
Rainy,Highway,Morning,2,42,4,0,Low,Wet,Bike,22,3,Artificial Light,0,16.725716289425524,82.63313717178318,Andhra Pradesh
Foggy,Rural Road,Evening,1,129,7,1,High,Icy,Car,66,42,Artificial Light,1,14.713110855766917,78.0501855024787,Andhra Pradesh
Clear,Highway,Morning,3,91,18,1,High,Icy,Bike,39,17,Artificial Light,1,14.14095463463308,78.34958008943994,Andhra Pradesh
Clear,Rural Road,Afternoon,3,113,1,0,Moderate,Icy,Bus,64,42,Artificial Light,1,17.620697348700645,83.05015304877472,Andhra Pradesh
Rainy,City Road,Morning,3,76,3,1,High,Icy,Bike,29,9,Artificial Light,1,17.725368689349214,82.54881397976834,Andhra Pradesh
Foggy,City Road,Morning,2,85,12,0,Low,Dry,Car,24,1,Artificial Light,0,17.780966586284425,81.40807209873827,Andhra Pradesh
Foggy,Highway,Afternoon,3,123,14,0,Low,Dry,Car,36,15,Artificial Light,1,16.14705988969698,77.7605768585868,Telangana
Foggy,Rural Road,Night,1,113,9,0,Moderate,Icy,Car,21,0,Daylight,1,17.50039587104557,83.44154962691107,Andhra Pradesh
Clear,City Road,Night,2,76,9,0,Low,Dry,Bus,30,12,Artificial Light,0,15.972601510505118,78.30724393503002,Andhra Pradesh
Clear,City Road,Evening,2,81,8,0,Low,Icy,Truck,54,33,Daylight,0,17.459080340759055,79.05030486415589,Telangana
Foggy,Rural Road,Night,1,90,12,0,Moderate,Dry,Bus,38,19,Daylight,1,16.622433316287143,82.5682063248953,Andhra Pradesh
Clear,Highway,Evening,3,52,15,0,Low,Icy,Bus,28,9,Daylight,0,14.417074262375657,77.60737508576833,Andhra Pradesh
Clear,Highway,Night,3,115,2,0,Moderate,Dry,Truck,47,27,Daylight,1,18.996079895478125,78.38715423141821,Telangana
Foggy,City Road,Afternoon,3,103,6,0,Moderate,Wet,Truck,43,23,Daylight,1,15.759841667586288,79.67504913521685,Andhra Pradesh
Foggy,City Road,Afternoon,2,102,14,0,Low,Wet,Bike,53,32,Artificial Light,0,17.476601666602356,80.31125824541799,Telangana
Foggy,Highway,Evening,2,106,3,0,High,Icy,Car,36,15,Artificial Light,1,17.70590460133441,80.16376687735016,Telangana
Rainy,City Road,Afternoon,1,40,1,0,High,Wet,Car,47,27,Artificial Light,0,16.87726449284815,82.27764095601184,Andhra Pradesh
Rainy,Highway,Evening,2,42,7,1,High,Icy,Car,62,40,Daylight,1,18.121207696520322,83.07432247027754,Andhra Pradesh
Clear,Rural Road,Evening,1,113,4,0,Low,Dry,Bus,48,23,Artificial Light,0,14.28346773888143,79.15741746852655,Andhra Pradesh
Rainy,City Road,Evening,1,129,12,0,Moderate,Icy,Bike,34,16,Artificial Light,1,18.28819907221232,83.7195482694569,Andhra Pradesh
Rainy,Rural Road,Evening,3,100,9,0,Moderate,Icy,Car,68,49,Artificial Light,1,18.14128312070896,80.63194086647935,Andhra Pradesh
Foggy,Highway,Evening,1,107,10,0,Low,Dry,Bus,57,34,Artificial Light,0,17.305395465349594,79.74880988541908,Telangana
Clear,City Road,Morning,1,80,5,0,Low,Wet,Car,56,33,Artificial Light,0,17.992627625138155,80.52924146460248,Andhra Pradesh
Rainy,Rural Road,Afternoon,2,34,9,0,Low,Icy,Truck,37,19,Artificial Light,0,17.661593659706952,83.00035646713053,Andhra Pradesh
Rainy,Highway,Afternoon,2,32,17,0,Low,Dry,Bike,68,45,Artificial Light,0,19.558236721045056,80.51583426409273,Telangana
Foggy,Rural Road,Morning,3,70,13,0,Low,Dry,Bike,39,19,Daylight,0,18.55429500804495,79.05340338784812,Telangana
Clear,Rural Road,Morning,3,126,7,0,Moderate,Dry,Truck,21,1,Artificial Light,1,16.740318517471245,82.37094090664614,Andhra Pradesh
Clear,Rural Road,Night,3,50,19,0,High,Icy,Bus,44,25,Artificial Light,1,15.043620709741155,79.1805617265153,Andhra Pradesh
Rainy,Rural Road,Night,1,49,10,0,Moderate,Wet,Car,35,16,Daylight,1,16.648352391188624,81.17205687838782,Andhra Pradesh
Rainy,Rural Road,Afternoon,2,76,10,0,Low,Icy,Truck,39,19,Daylight,0,15.812281866561099,79.55795257012873,Andhra Pradesh
Rainy,Rural Road,Afternoon,1,129,9,0,Moderate,Dry,Truck,50,25,Artificial Light,1,18.480445069230147,81.23292349882476,Andhra Pradesh
Clear,Highway,Afternoon,1,46,9,1,Moderate,Dry,Bike,20,0,Daylight,1,18.494845878107107,81.4837585990579,Andhra Pradesh
Clear,City Road,Night,3,39,15,0,Moderate,Icy,Truck,63,41,Daylight,1,18.538879755301494,78.03040687662863,Telangana
Foggy,Highway,Night,1,114,8,0,Moderate,Icy,Car,59,35,Artificial Light,1,18.30806997290912,81.62063408599954,Andhra Pradesh
Foggy,City Road,Evening,1,113,12,0,Low,Wet,Bike,58,33,Artificial Light,0,14.469758971996042,78.93702941705307,Andhra Pradesh
Clear,Rural Road,Night,2,84,2,0,Moderate,Wet,Truck,68,47,Daylight,1,16.922416517175904,81.59613717746272,Andhra Pradesh
Rainy,Rural Road,Night,3,116,14,0,Moderate,Icy,Bike,57,32,Artificial Light,1,18.303832215675765,81.89015410210995,Andhra Pradesh
Rainy,City Road,Evening,2,78,1,0,Low,Icy,Truck,51,31,Artificial Light,0,16.805645150394906,79.30751685277488,Telangana
Clear,City Road,Evening,1,90,1,0,Low,Icy,Car,32,8,Artificial Light,0,17.11419828390663,80.69877049292263,Telangana
Rainy,City Road,Morning,2,40,14,0,High,Icy,Bike,68,48,Artificial Light,1,19.782001638730527,79.25875818647894,Telangana
Foggy,Rural Road,Morning,2,67,15,0,Low,Icy,Bike,50,26,Artificial Light,0,15.41465768389905,77.86164202971673,Andhra Pradesh
Clear,City Road,Evening,1,100,15,0,Low,Wet,Bus,69,49,Artificial Light,0,15.28358624281455,78.99639500347983,Andhra Pradesh
Clear,City Road,Night,3,70,4,0,Moderate,Icy,Bike,40,21,Artificial Light,1,15.101086426640116,79.57270853339992,Andhra Pradesh
Rainy,City Road,Night,1,44,7,0,Moderate,Wet,Bike,32,10,Daylight,1,15.221512314694962,78.88741091201331,Andhra Pradesh
Rainy,City Road,Evening,3,66,13,0,Moderate,Dry,Truck,37,19,Daylight,1,18.467194599477548,82.83572907067638,Andhra Pradesh
Foggy,Highway,Night,3,115,8,1,High,Wet,Bike,35,14,Artificial Light,1,15.979772095236184,78.73512295701565,Telangana
Clear,Highway,Morning,1,63,13,0,Low,Icy,Car,25,6,Daylight,0,14.1408331944981,77.55493364003402,Andhra Pradesh
Foggy,City Road,Morning,3,73,5,0,Low,Icy,Bike,66,47,Artificial Light,0,17.16538035938534,82.03404512811608,Andhra Pradesh
Clear,Highway,Evening,3,77,5,0,Low,Dry,Bike,21,0,Artificial Light,0,16.829435493885963,82.91200174943118,Andhra Pradesh
Clear,Rural Road,Night,2,33,1,0,Low,Wet,Truck,68,46,Artificial Light,0,16.900308422498732,81.61856299191,Andhra Pradesh
Rainy,Rural Road,Evening,3,129,6,0,Moderate,Dry,Bus,69,48,Daylight,1,16.644458696544955,81.01608553243163,Andhra Pradesh
Rainy,Highway,Morning,3,113,12,0,Moderate,Dry,Car,63,42,Daylight,1,16.1003069768403,81.01789146375637,Telangana
Clear,Rural Road,Morning,3,123,18,1,High,Dry,Truck,18,0,Daylight,1,18.884877856169236,80.74057077983251,Telangana
Rainy,Rural Road,Evening,3,82,16,0,Moderate,Wet,Bus,34,15,Artificial Light,1,18.736933908251714,80.3461114912484,Telangana
Rainy,Rural Road,Evening,3,109,1,0,Moderate,Icy,Truck,27,6,Daylight,1,17.78455632701423,80.63426544175792,Andhra Pradesh
Foggy,City Road,Afternoon,2,119,5,0,Low,Wet,Bike,63,42,Artificial Light,0,15.944694263842193,78.65082422888409,Andhra Pradesh
Rainy,Highway,Afternoon,1,42,12,0,High,Icy,Bus,33,12,Artificial Light,1,17.05485346960196,82.74980717556728,Andhra Pradesh
Rainy,City Road,Morning,2,67,12,0,Low,Icy,Bus,30,10,Artificial Light,0,16.177418999656357,78.28736838966027,Andhra Pradesh
Rainy,Highway,Afternoon,3,90,6,0,Moderate,Icy,Truck,31,8,Artificial Light,1,18.9560664602809,79.8383723736899,Telangana
Clear,Highway,Night,2,100,11,0,Moderate,Icy,Truck,20,0,Artificial Light,1,15.319530270739051,78.69054860531533,Andhra Pradesh
Foggy,Rural Road,Morning,2,54,13,1,Moderate,Wet,Car,61,41,Daylight,0,17.998630710284868,83.87641667589962,Andhra Pradesh
Foggy,Highway,Evening,3,82,16,0,Moderate,Icy,Bus,66,42,Daylight,1,16.606869204782033,83.78142618092568,Andhra Pradesh
Clear,Rural Road,Morning,2,69,9,0,Low,Dry,Car,28,4,Artificial Light,0,17.729806029133872,82.18848260558156,Andhra Pradesh
Clear,Highway,Afternoon,1,75,4,1,Moderate,Wet,Bus,29,6,Daylight,1,16.183995555690647,80.81002007856773,Telangana
Clear,City Road,Night,3,72,17,1,High,Wet,Truck,25,2,Daylight,1,14.77925830373203,78.20435026402532,Andhra Pradesh
Foggy,Highway,Evening,3,43,10,0,Low,Icy,Bike,54,30,Artificial Light,0,14.180893144353316,79.5265418412201,Andhra Pradesh
Foggy,Rural Road,Night,3,97,15,0,Moderate,Wet,Bus,22,1,Daylight,1,17.68596949551099,83.77597962650623,Andhra Pradesh
Rainy,Highway,Evening,2,119,3,0,Moderate,Dry,Truck,65,42,Artificial Light,1,15.036074531167591,79.08592868048245,Andhra Pradesh
Clear,City Road,Afternoon,1,33,5,0,Low,Dry,Truck,61,42,Artificial Light,0,17.21031650889712,78.50311455684118,Telangana
Rainy,City Road,Morning,3,76,12,0,Moderate,Icy,Truck,36,18,Artificial Light,1,19.886401439532186,80.72871408654501,Telangana
Rainy,City Road,Night,3,105,13,0,High,Icy,Bike,18,0,Artificial Light,1,18.443351907265452,78.8698613231308,Telangana
Clear,Rural Road,Morning,1,32,9,0,Low,Dry,Car,64,39,Artificial Light,0,16.001559399535697,77.34596731736524,Telangana
Rainy,Rural Road,Night,1,32,11,1,Low,Wet,Bus,36,14,Artificial Light,0,18.0240654420781,82.38082716655349,Andhra Pradesh
Rainy,Rural Road,Night,3,129,6,0,High,Dry,Truck,25,4,Daylight,1,19.24721879495037,77.35710470553815,Telangana
Foggy,City Road,Afternoon,3,122,9,1,High,Wet,Bus,64,44,Daylight,1,16.974140782348357,82.06545538854992,Andhra Pradesh
Foggy,City Road,Morning,1,107,5,0,Low,Dry,Bus,51,27,Daylight,0,18.408263283142144,81.28139390374277,Andhra Pradesh
Rainy,Highway,Evening,1,107,8,0,Moderate,Dry,Car,44,21,Artificial Light,1,19.581461879482696,79.20169782867241,Telangana
Rainy,Rural Road,Night,2,61,6,1,High,Icy,Bus,46,27,Daylight,1,15.385145958650527,79.64091558760435,Andhra Pradesh
Clear,Rural Road,Morning,1,101,9,1,High,Wet,Bike,24,6,Daylight,1,15.821930853646315,80.71672238905023,Telangana
Clear,City Road,Evening,3,101,16,0,Moderate,Icy,Bus,38,14,Artificial Light,1,14.349301417447386,77.72108945898395,Andhra Pradesh
Clear,Rural Road,Morning,3,42,17,0,Low,Dry,Bike,32,9,Daylight,0,18.36735781226587,82.39835296066653,Andhra Pradesh
Foggy,Rural Road,Evening,1,38,18,0,Low,Icy,Car,49,31,Artificial Light,0,17.962571501259102,77.86329275600681,Telangana
Foggy,Highway,Night,3,37,12,0,Moderate,Dry,Car,66,44,Artificial Light,1,15.803236995482198,81.00765842650367,Telangana
Rainy,City Road,Morning,2,70,10,0,Low,Wet,Car,36,15,Artificial Light,0,17.76769963747065,83.70115759080318,Andhra Pradesh
Clear,City Road,Evening,3,86,2,0,Moderate,Wet,Bus,30,8,Artificial Light,1,17.83054567247382,80.77544501847629,Andhra Pradesh
Foggy,Rural Road,Afternoon,2,115,4,0,Low,Dry,Bike,28,5,Daylight,0,14.409829302383006,79.19269318918491,Andhra Pradesh
Rainy,Highway,Morning,1,46,12,0,Low,Icy,Car,69,46,Artificial Light,0,17.42678201760929,82.59800689709668,Andhra Pradesh
Rainy,City Road,Evening,1,42,1,0,Low,Icy,Bus,60,39,Artificial Light,0,17.98327563723524,81.55924119222885,Andhra Pradesh
Clear,Highway,Evening,1,101,2,0,Low,Wet,Truck,64,40,Artificial Light,0,18.51572462564229,77.94393033828706,Telangana
Clear,City Road,Evening,2,94,3,0,Low,Dry,Bus,61,37,Daylight,0,14.320470182026154,78.47831994142096,Andhra Pradesh
Rainy,City Road,Afternoon,3,68,4,1,High,Dry,Car,38,16,Daylight,1,16.813544902329394,80.71736367231246,Telangana
Rainy,Rural Road,Evening,3,98,5,0,Moderate,Wet,Bus,66,41,Artificial Light,1,18.263434612790792,83.62137073992315,Andhra Pradesh
Rainy,Rural Road,Night,2,98,13,0,Moderate,Icy,Truck,35,17,Artificial Light,1,17.72769189001545,80.80701174601988,Andhra Pradesh
Clear,City Road,Evening,2,58,3,1,Moderate,Icy,Truck,29,5,Artificial Light,1,17.40530210836668,80.55261212865598,Telangana
Foggy,Rural Road,Afternoon,1,95,8,0,Low,Dry,Truck,47,23,Artificial Light,0,15.56175167351652,78.14984398642362,Andhra Pradesh
Foggy,Highway,Morning,1,128,9,0,Low,Icy,Truck,32,10,Artificial Light,0,16.705892289400573,83.0165798715176,Andhra Pradesh
Clear,Highway,Night,3,60,12,0,Moderate,Wet,Bike,33,13,Artificial Light,1,17.91753126469131,81.37130233678906,Andhra Pradesh
Foggy,City Road,Night,2,32,19,0,Low,Wet,Car,40,16,Artificial Light,0,17.13019673740377,78.77081208512254,Telangana
Foggy,City Road,Evening,1,33,8,1,Moderate,Dry,Truck,52,29,Artificial Light,1,15.905543879963586,78.80292500230394,Telangana
Clear,City Road,Evening,2,98,16,0,Low,Wet,Bus,21,2,Daylight,0,16.243246239374347,78.69190212596263,Andhra Pradesh
Rainy,Highway,Night,1,79,6,0,Moderate,Wet,Bus,43,18,Artificial Light,1,16.56164923739874,83.57721518154884,Andhra Pradesh
Clear,Rural Road,Afternoon,2,118,8,0,Low,Icy,Bus,41,16,Artificial Light,0,18.389500160420425,82.21225687040831,Andhra Pradesh
Rainy,Rural Road,Afternoon,1,120,9,0,Moderate,Icy,Car,63,41,Artificial Light,1,17.20193142365638,81.54382664376051,Telangana
Clear,Highway,Evening,1,106,11,0,Low,Icy,Bus,20,0,Daylight,0,15.900003071751398,79.93269700588472,Telangana
Clear,Highway,Afternoon,2,41,5,0,Low,Dry,Truck,25,7,Artificial Light,0,16.938640802422764,82.00110600972573,Andhra Pradesh
Foggy,Rural Road,Night,1,119,16,0,Moderate,Icy,Bike,26,2,Daylight,1,15.817827992204819,77.50164877502513,Andhra Pradesh
Clear,Rural Road,Afternoon,2,127,1,1,High,Wet,Bike,30,5,Daylight,1,14.41131343098203,78.03723499871143,Andhra Pradesh
Foggy,City Road,Night,2,78,11,0,Low,Icy,Bus,52,33,Daylight,0,16.880241127344778,77.37775464179457,Telangana
Foggy,Rural Road,Afternoon,1,37,16,0,Low,Dry,Bike,46,22,Artificial Light,0,16.304513706720332,81.83584463783757,Telangana
Clear,City Road,Afternoon,2,107,2,1,High,Wet,Truck,54,31,Daylight,1,16.730602180678098,80.87446941411118,Andhra Pradesh
Rainy,City Road,Night,1,59,16,0,Moderate,Icy,Truck,34,9,Artificial Light,1,16.136421660081602,78.09099028886948,Andhra Pradesh
Foggy,Rural Road,Night,3,65,4,0,Moderate,Dry,Car,48,25,Artificial Light,1,16.946180036890713,80.69780491778864,Andhra Pradesh
Foggy,Rural Road,Afternoon,2,43,19,0,Low,Icy,Truck,55,33,Artificial Light,0,16.22391924018317,79.22808816328393,Telangana
